epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,116036,0.54503,0.93999,0.83049,0.6321,0.75343,0.68339,0.61482,0.48477,0.58321,0.80659,0.002179,0.002179,0.002179
81,117486,0.54359,0.9399,0.82948,0.63239,0.75312,0.68349,0.61498,0.48457,0.58304,0.80652,0.00208,0.00208,0.00208
82,118937,0.54272,0.93831,0.82922,0.63282,0.75247,0.68354,0.61502,0.48439,0.58279,0.80642,0.001981,0.001981,0.001981
83,120386,0.54041,0.93578,0.82869,0.63325,0.75253,0.68358,0.61521,0.48405,0.58268,0.80638,0.001882,0.001882,0.001882
84,121836,0.53925,0.93588,0.82891,0.63342,0.75261,0.68365,0.6154,0.48378,0.58245,0.80635,0.001783,0.001783,0.001783
85,123285,0.53986,0.93348,0.82884,0.63364,0.75176,0.68361,0.61527,0.48374,0.58208,0.80635,0.001684,0.001684,0.001684
86,124735,0.53751,0.93038,0.82833,0.63398,0.75101,0.68365,0.6153,0.48346,0.58197,0.80632,0.001585,0.001585,0.001585
87,126184,0.53513,0.92863,0.82788,0.63447,0.75067,0.68371,0.61535,0.48338,0.58173,0.80628,0.001486,0.001486,0.001486
88,127634,0.53427,0.92553,0.82769,0.63435,0.75139,0.68366,0.61536,0.48326,0.58153,0.80617,0.001387,0.001387,0.001387
89,129083,0.53148,0.92624,0.8273,0.63462,0.75142,0.68356,0.61539,0.48306,0.58142,0.80608,0.001288,0.001288,0.001288
90,130532,0.52988,0.92161,0.8271,0.63504,0.75116,0.68364,0.61554,0.48291,0.58132,0.80596,0.001189,0.001189,0.001189
91,131978,0.51981,0.89626,0.82286,0.63488,0.75135,0.68367,0.61552,0.48273,0.58125,0.80591,0.00109,0.00109,0.00109
92,133423,0.51725,0.89243,0.82279,0.63561,0.75131,0.6837,0.6157,0.48249,0.58112,0.80583,0.000991,0.000991,0.000991
93,134867,0.51522,0.88968,0.82197,0.6361,0.75102,0.68359,0.61567,0.48227,0.58122,0.80578,0.000892,0.000892,0.000892
94,136313,0.51279,0.88607,0.82132,0.63631,0.75058,0.68352,0.61577,0.48198,0.58126,0.80575,0.000793,0.000793,0.000793
95,137758,0.50982,0.8815,0.82051,0.63649,0.75048,0.68341,0.61563,0.48179,0.58117,0.80569,0.000694,0.000694,0.000694
96,139201,0.50817,0.87756,0.8208,0.636,0.75147,0.68328,0.61563,0.48155,0.58112,0.80564,0.000595,0.000595,0.000595
97,140646,0.50575,0.87512,0.81921,0.63667,0.74992,0.68307,0.61555,0.48141,0.58134,0.80567,0.000496,0.000496,0.000496
98,142091,0.50317,0.87074,0.81935,0.63597,0.75088,0.68277,0.61541,0.48144,0.58166,0.80564,0.000397,0.000397,0.000397
99,143535,0.50049,0.86716,0.81894,0.63675,0.74929,0.68244,0.61527,0.48132,0.58196,0.80565,0.000298,0.000298,0.000298
100,144980,0.49836,0.86224,0.8185,0.63699,0.74841,0.68197,0.61486,0.48131,0.58261,0.80564,0.000199,0.000199,0.000199
